Category,Positive,Negative
Colleagues,56,0
Culture,45,23
P3,31,0
Freedom,28,0
Perks,22,0
Self Development,21,8
Flat Hierarchy,17,0
P2,17,18
Openness/Transparency,16,19
Mgmt,11,36
WL Balance,9,0
Fun,8,0
Hiring,2,11
Feedback System,2,0
Compensation,0,32
Retention,0,10
GA,0,10
Staffing,0,6
Project Portfolio,0,13
Appraisal,0,5
Expansion Plan,0,6
Clarity,0,14
Office Space,0,8
